cluster,danceability,energy,loudness_scaled,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo_scaled,cluster_size
0,0.5732467930308253,0.714979516963431,0.1926054319895445,0.0,0.0691616121003255,0.14676849603101666,0.7666377560788818,0.1927286999808539,0.3407286482864254,0.5168997521450086,5223
1,0.5444337607411386,0.4350699383794307,0.2179926433921249,1.0,0.09007381176154672,0.7013951096938775,0.018799892751074115,0.2287672193877551,0.4561888939983888,0.476764172051668,14896
2,0.582426690349319,0.7683736735859483,0.13022509152204842,1.0,0.08723963291888692,0.12057685269232286,0.018445235035721333,0.23163064574699033,0.5431400244720742,0.523261780950736,25335
3,0.5944071981179025,0.6867450396371534,0.15257252778672065,0.0,0.10148683889064833,0.272628329396462,0.020593893674614307,0.2230706827127539,0.5072976749762476,0.5054438549678648,22103
4,0.5605357342169515,0.7607277629229159,0.18174115784766637,1.0,0.07521691663760027,0.08235548202302058,0.7662009068712939,0.1996084931984653,0.3374385333100802,0.5247526689897648,5734
5,0.369367172493277,0.1752951377449097,0.4415005116110433,0.6684594698424894,0.051811256242796776,0.9016618904072224,0.8428872265981561,0.15251311947752594,0.19285009911640416,0.432893847493428,5206
